subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
  79	je	1	train		ml	neg	 4	4	53	Female	black
  79	je	2	driver		hs	neg	 7	7	53	Female	black
  79	je	3	linebacker	ident	pos	 7	2	53	Female	black
  79	je	4	fire		ivd	pos	 7	7	53	Female	black
  79	je	5	construct	cc	pos	 3	3	53	Female	black
  80	se	2	fire		ident	neg	 7	7	48	Male	white
  80	se	4	construct	ivd	neg	 7	6	48	Male	white
  80	se	5	driver		cc	neg	 2	5	48	Male	white
  80	se	1	train		ml	pos	 2	2	48	Male	white
  80	se	3	linebacker	hs	pos	 6	7	48	Male	white
  81	se	1	construct	cc	neg	 1	1	30	Male	white
  81	se	4	linebacker	ml	neg	 1	1	30	Male	white
  81	se	5	train		ivd	neg	 7	7	30	Male	white
  81	se	2	driver		hs	pos	 7	7	30	Male	white
  81	se	3	fire		ident	pos	 7	7	30	Male	white
  82	se	3	train		hs	neg	 5	7	49	Male	white
  82	se	4	fire		ml	neg	 1	3	49	Male	white
  82	se	5	driver		ivd	neg	 7	7	49	Male	white
  82	se	1	linebacker	cc	pos	 1	6	49	Male	white
  82	se	2	construct	ident	pos	 7	5	49	Male	white
  83	se	5	driver		ml	neg	 5	7	53	Female	white
  83	se	1	fire		ident	pos	 7	3	53	Female	white
  83	se	2	train		ivd	pos	 7	7	53	Female	white
  83	se	3	construct	hs	pos	 7	7	53	Female	white
  83	se	4	linebacker	cc	pos	 1	4	53	Female	white
  84	je	1	construct	hs	pos	 7	7	24	Female	white
  84	je	2	train		ml	pos	 3	3	24	Female	white
  84	je	3	fire		ident	pos	 6	6	24	Female	white
  84	je	4	driver		cc	pos	 2	2	24	Female	white
  84	je	5	linebacker	ivd	pos	 5	5	24	Female	white
  85	je	1	fire		ivd	neg	 6	6	31	Female	asian.black
  85	je	2	construct	hs	neg	 7	7	31	Female	asian.black
  85	je	4	train		ml	neg	 4	6	31	Female	asian.black
  85	je	5	driver		ident	neg	 7	5	31	Female	asian.black
  85	je	3	linebacker	cc	pos	 3	3	31	Female	asian.black
